RiverMile,Lat,Long
-7.85,36.8795,-111.5363
-7.84,36.8795,-111.5365
-7.83,36.8794,-111.5366
-7.82,36.8794,-111.5368
-7.81,36.8794,-111.537
-7.8,36.8793,-111.5371
-7.79,36.8793,-111.5373
-7.78,36.8792,-111.5375
-7.77,36.8792,-111.5377
-7.76,36.8792,-111.5378
-7.75,36.8791,-111.538
-7.74,36.8791,-111.5382
-7.73,36.879,-111.5384
-7.72,36.879,-111.5385
-7.71,36.879,-111.5387
-7.7,36.8789,-111.5389
-7.69,36.8789,-111.5391
-7.68,36.8788,-111.5392
-7.67,36.8788,-111.5394
-7.66,36.8788,-111.5396
-7.65,36.8787,-111.5397
-7.64,36.8787,-111.5399
-7.63,36.8787,-111.5401
-7.62,36.8786,-111.5403
-7.61,36.8786,-111.5405
-7.6,36.8786,-111.5406
-7.59,36.8785,-111.5408
-7.58,36.8785,-111.541
-7.57,36.8785,-111.5412
-7.56,36.8784,-111.5413
-7.55,36.8784,-111.5415
-7.54,36.8784,-111.5417
-7.53,36.8783,-111.5419
-7.52,36.8783,-111.542
-7.51,36.8783,-111.5422
-7.5,36.8782,-111.5424
-7.49,36.8782,-111.5426
-7.48,36.8782,-111.5427
-7.47,36.8781,-111.5429
-7.46,36.8781,-111.5431
-7.45,36.878,-111.5433
-7.44,36.878,-111.5434
-7.43,36.8779,-111.5436
-7.42,36.8779,-111.5438
-7.41,36.8778,-111.5439
-7.4,36.8778,-111.5441
-7.39,36.8777,-111.5443
-7.38,36.8776,-111.5444
-7.37,36.8776,-111.5446
-7.36,36.8775,-111.5447
-7.35,36.8774,-111.5449
-7.34,36.8774,-111.5451
-7.33,36.8773,-111.5452
-7.32,36.8772,-111.5454
-7.31,36.8772,-111.5455
-7.3,36.8771,-111.5457
-7.29,36.877,-111.5458
-7.28,36.8769,-111.546
-7.27,36.8768,-111.5461
-7.26,36.8767,-111.5463
-7.25,36.8766,-111.5464
-7.24,36.8766,-111.5466
-7.23,36.8765,-111.5467
-7.22,36.8764,-111.5468
